,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,genres
One Flew Over the Cuckoo's Nest,/title/tt0073486/?ref_=bo_cso_table_46,646,One Flew Over the Cuckoo's Nest,"$108,981,275",1975,3000000,245000000,108981275,16354,108997629,133.0,,November,['Drama']
A Time to Kill,/title/tt0117913/?ref_=bo_cso_table_47,647,A Time to Kill,"$108,766,007",1996,14823159,245000000,108766007,43500000,152266007,149.0,R,July,"['Crime', 'Drama', 'Thriller']"
Black Hawk Down,/title/tt0265086/?ref_=bo_cso_table_48,648,Black Hawk Down,"$108,638,745",2001,179823,245000000,108638745,64350906,172989651,144.0,R,December,"['Drama', 'History', 'War']"
Terms of Endearment,/title/tt0086425/?ref_=bo_cso_table_49,649,Terms of Endearment,"$108,423,489",1983,3498813,245000000,108423489,108423489,0,132.0,,November,"['Comedy', 'Drama']"
Ace Ventura: When Nature Calls,/title/tt0112281/?ref_=bo_cso_table_50,650,Ace Ventura: When Nature Calls,"$108,385,533",1995,37804076,245000000,108385533,104000000,212385533,90.0,PG-13,November,"['Adventure', 'Comedy', 'Crime']"
The Upside,/title/tt1987680/?ref_=bo_cso_table_51,651,The Upside,"$108,252,517",2019,20355000,245000000,108252517,17603663,125856180,126.0,PG-13,January,"['Comedy', 'Drama']"
The Princess Diaries,/title/tt0247638/?ref_=bo_cso_table_52,652,The Princess Diaries,"$108,248,956",2001,22862269,245000000,108248956,57086197,165335153,111.0,G,August,"['Comedy', 'Family', 'Romance']"
Superman II,/title/tt0081573/?ref_=bo_cso_table_53,653,Superman II,"$108,185,706",1981,14100523,245000000,108185706,108185706,0,127.0,PG,June,"['Action', 'Adventure', 'Sci-Fi']"
Little Women,/title/tt3281548/?ref_=bo_cso_table_54,654,Little Women,"$108,101,214",2019,16755310,245000000,108101214,108500000,216601214,135.0,PG,December,"['Drama', 'Romance']"
Hop,/title/tt1411704/?ref_=bo_cso_table_55,655,Hop,"$108,085,305",2011,37543710,245000000,108085305,75868418,183953723,95.0,PG,March,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Pulp Fiction,/title/tt0110912/?ref_=bo_cso_table_56,656,Pulp Fiction,"$107,928,762",1994,9311882,245000000,107928762,106000000,213928762,154.0,R,October,"['Crime', 'Drama']"
Paranormal Activity,/title/tt1179904/?ref_=bo_cso_table_57,657,Paranormal Activity,"$107,918,810",2009,77873,245000000,107918810,85436990,193355800,86.0,R,September,"['Horror', 'Mystery']"
Baby Driver,/title/tt3890160/?ref_=bo_cso_table_58,658,Baby Driver,"$107,825,862",2017,20553320,245000000,107825862,119119225,226945087,113.0,R,June,"['Action', 'Crime', 'Drama', 'Music', 'Thriller']"
A League of Their Own,/title/tt0104694/?ref_=bo_cso_table_59,659,A League of Their Own,"$107,533,928",1992,13739456,245000000,107533928,24906141,132440069,128.0,PG,July,"['Comedy', 'Drama', 'Sport']"
Epic,/title/tt0848537/?ref_=bo_cso_table_60,660,Epic,"$107,518,682",2013,33531068,245000000,107518682,160907952,268426634,102.0,PG,May,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Mystery', 'Thriller']"
Watchmen,/title/tt0409459/?ref_=bo_cso_table_61,661,Watchmen,"$107,509,799",2009,55214334,245000000,107509799,77873014,185382813,162.0,R,March,"['Action', 'Drama', 'Mystery', 'Sci-Fi']"
The Angry Birds Movie,/title/tt1985949/?ref_=bo_cso_table_62,662,The Angry Birds Movie,"$107,509,366",2016,38155177,245000000,107509366,244824563,352333929,97.0,PG,May,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
Batman & Robin,/title/tt0118688/?ref_=bo_cso_table_63,663,Batman & Robin,"$107,353,792",1997,42872605,245000000,107353792,130881927,238207122,125.0,PG-13,June,"['Action', 'Sci-Fi']"
Captain Phillips,/title/tt1535109/?ref_=bo_cso_table_64,664,Captain Phillips,"$107,100,855",2013,25718314,245000000,107100855,111690956,218791811,134.0,PG-13,October,"['Adventure', 'Biography', 'Crime', 'Drama', 'Thriller']"
Black Swan,/title/tt0947798/?ref_=bo_cso_table_65,665,Black Swan,"$106,954,678",2010,1443809,245000000,106954678,222443368,329398046,108.0,R,December,"['Drama', 'Thriller']"
Analyze This,/title/tt0122933/?ref_=bo_cso_table_66,666,Analyze This,"$106,885,658",1999,18383507,245000000,106885658,70000000,176885658,103.0,R,March,"['Comedy', 'Crime']"
Chicken Run,/title/tt0120630/?ref_=bo_cso_table_67,667,Chicken Run,"$106,834,564",2000,17506162,245000000,106834564,118000000,224834564,84.0,,June,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']"
Miss Congeniality,/title/tt0212346/?ref_=bo_cso_table_68,668,Miss Congeniality,"$106,807,667",2000,10046534,245000000,106807667,105935053,212742720,109.0,PG-13,December,"['Action', 'Comedy', 'Crime', 'Romance']"
Indecent Proposal,/title/tt0107211/?ref_=bo_cso_table_69,669,Indecent Proposal,"$106,614,059",1993,18387632,245000000,106614059,160000000,266614059,117.0,R,April,"['Drama', 'Romance']"
Driving Miss Daisy,/title/tt0097239/?ref_=bo_cso_table_70,670,Driving Miss Daisy,"$106,593,296",1989,73745,245000000,106593296,39200000,145793296,99.0,,December,['Drama']
300: Rise of an Empire,/title/tt1253863/?ref_=bo_cso_table_71,671,300: Rise of an Empire,"$106,580,051",2014,45038460,245000000,106580051,231000000,337580051,102.0,R,March,"['Action', 'Drama']"
Love Story,/title/tt0066011/?ref_=bo_cso_table_72,672,Love Story,"$106,550,690",1970,0,245000000,106550690,106550690,0,100.0,PG,December,"['Drama', 'Romance']"
GoldenEye,/title/tt0113189/?ref_=bo_cso_table_73,673,GoldenEye,"$106,429,941",1995,26205007,245000000,106429941,245764093,352194034,130.0,PG-13,November,"['Action', 'Adventure', 'Thriller']"
Kramer vs. Kramer,/title/tt0079417/?ref_=bo_cso_table_74,674,Kramer vs. Kramer,"$106,260,000",1979,0,245000000,106260000,106260000,0,105.0,PG,December,['Drama']
The Italian Job,/title/tt0317740/?ref_=bo_cso_table_75,675,The Italian Job,"$106,128,601",2003,19457944,245000000,106128601,69941570,176070171,111.0,PG-13,May,"['Action', 'Crime', 'Thriller']"
