,link_stub,rank,title,domestic_gross_x,release_year,domestic_opening_gross,budget,domestic_gross_y,international_gross,worldwide_gross,runtime_minutes,rating,release_month,release_date,genres
Lone Survivor,/title/tt1091191/?ref_=bo_cso_table_123,523,Lone Survivor,"$125,095,601",2013,90872,40000000,125095601,29707311,154802912,121.0,R,12,2013-12-25,"['Action', 'Biography', 'Drama', 'War']"
Sully,/title/tt3263904/?ref_=bo_cso_table_124,524,Sully,"$125,070,033",2016,35028301,60000000,125070033,115727590,240797623,96.0,PG-13,9,2016-09-08,"['Biography', 'Drama']"
Rocky III,/title/tt0084602/?ref_=bo_cso_table_125,525,Rocky III,"$125,049,125",1982,12431486,0,125049125,3561,125052686,99.0,,5,1982-05-28,"['Drama', 'Sport']"
The Vow,/title/tt1606389/?ref_=bo_cso_table_126,526,The Vow,"$125,014,030",2012,41202458,30000000,125014030,71100540,196114570,104.0,PG-13,2,2012-02-09,"['Drama', 'Romance']"
Life of Pi,/title/tt0454876/?ref_=bo_cso_table_127,527,Life of Pi,"$124,987,023",2012,22451514,120000000,124987023,484029542,609016565,127.0,PG,11,2012-11-21,"['Adventure', 'Drama', 'Fantasy']"
The Fault in Our Stars,/title/tt2582846/?ref_=bo_cso_table_128,528,The Fault in Our Stars,"$124,872,350",2014,48002523,12000000,124872350,182294484,307166834,126.0,PG-13,6,2014-06-04,"['Drama', 'Romance']"
Cloudy with a Chance of Meatballs,/title/tt0844471/?ref_=bo_cso_table_129,529,Cloudy with a Chance of Meatballs,"$124,870,275",2009,30304648,100000000,124870275,118135851,243006126,90.0,PG,9,2009-09-16,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
The Devil Wears Prada,/title/tt0458352/?ref_=bo_cso_table_130,530,The Devil Wears Prada,"$124,740,460",2006,27537244,35000000,124740460,201965655,326706115,109.0,PG-13,6,2006-06-30,"['Comedy', 'Drama']"
Something's Gotta Give,/title/tt0337741/?ref_=bo_cso_table_131,531,Something's Gotta Give,"$124,728,738",2003,16064723,80000000,124728738,140600000,265328738,128.0,PG-13,12,2003-12-12,"['Comedy', 'Drama', 'Romance']"
Traffic,/title/tt0181865/?ref_=bo_cso_table_132,532,Traffic,"$124,115,725",2000,184725,0,124115725,83400000,207515725,147.0,R,12,2000-12-27,"['Crime', 'Drama', 'Thriller']"
The Birdcage,/title/tt0115685/?ref_=bo_cso_table_133,533,The Birdcage,"$124,060,553",1996,18275828,0,124060553,61200000,185260553,117.0,R,3,1996-03-08,['Comedy']
City Slickers,/title/tt0101587/?ref_=bo_cso_table_134,534,City Slickers,"$124,033,791",1991,13032121,27000000,124033791,55000000,179033791,113.0,,6,1991-06-07,"['Comedy', 'Western']"
"Good Morning, Vietnam",/title/tt0093105/?ref_=bo_cso_table_135,535,"Good Morning, Vietnam","$123,922,370",1987,194308,0,123922370,123922370,0,121.0,,12,1987-12-25,"['Biography', 'Comedy', 'Drama', 'War']"
Rango,/title/tt1192628/?ref_=bo_cso_table_136,536,Rango,"$123,477,607",2011,38079323,135000000,123477607,122246996,245724603,107.0,PG,3,2011-03-02,"['Adventure', 'Animation', 'Comedy', 'Family', 'Western']"
Nutty Professor II: The Klumps,/title/tt0144528/?ref_=bo_cso_table_137,537,Nutty Professor II: The Klumps,"$123,309,890",2000,42518830,84000000,123309890,43030000,166339890,106.0,PG-13,7,2000-07-28,"['Comedy', 'Romance', 'Sci-Fi']"
The Good Dinosaur,/title/tt1979388/?ref_=bo_cso_table_138,538,The Good Dinosaur,"$123,087,120",2015,39155217,0,123087120,209120551,332207671,93.0,PG,11,2015-11-25,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']"
G.I. Joe: Retaliation,/title/tt1583421/?ref_=bo_cso_table_139,539,G.I. Joe: Retaliation,"$122,523,060",2013,40501814,130000000,122523060,253217645,375740705,110.0,PG-13,3,2013-03-27,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Clear and Present Danger,/title/tt0109444/?ref_=bo_cso_table_140,540,Clear and Present Danger,"$122,187,717",1994,20348017,62000000,122187717,93700000,215887717,141.0,PG-13,8,1994-08-05,"['Action', 'Crime', 'Drama', 'Thriller']"
The Hunt for Red October,/title/tt0099810/?ref_=bo_cso_table_141,541,The Hunt for Red October,"$122,012,643",1990,17161835,30000000,122012643,78500000,200512643,135.0,,3,1990-03-02,"['Action', 'Adventure', 'Thriller']"
The Bodyguard,/title/tt0103855/?ref_=bo_cso_table_142,542,The Bodyguard,"$122,006,740",1992,16611793,0,122006740,289000000,411006740,129.0,R,11,1992-11-25,"['Action', 'Drama', 'Music', 'Romance', 'Thriller']"
Wayne's World,/title/tt0105793/?ref_=bo_cso_table_143,543,Wayne's World,"$121,697,323",1992,18122710,20000000,121697323,61400000,183097323,94.0,PG-13,2,1992-02-14,"['Comedy', 'Music']"
The Bourne Identity,/title/tt0258463/?ref_=bo_cso_table_144,544,The Bourne Identity,"$121,661,683",2002,27118640,60000000,121661683,92372541,214034224,119.0,PG-13,6,2002-06-14,"['Action', 'Mystery', 'Thriller']"
Superbad,/title/tt0829482/?ref_=bo_cso_table_145,545,Superbad,"$121,463,226",2007,33052411,20000000,121463226,49349300,170812526,113.0,R,8,2007-08-17,['Comedy']
Speed,/title/tt0111257/?ref_=bo_cso_table_146,546,Speed,"$121,248,145",1994,14456194,30000000,121248145,229200000,350448145,116.0,R,6,1994-06-10,"['Action', 'Adventure', 'Thriller']"
50 First Dates,/title/tt0343660/?ref_=bo_cso_table_147,547,50 First Dates,"$120,908,074",2004,39852237,75000000,120908074,77612860,198520934,99.0,PG-13,2,2004-02-13,"['Comedy', 'Drama', 'Romance']"
Mamma Mia! Here We Go Again,/title/tt6911608/?ref_=bo_cso_table_148,548,Mamma Mia! Here We Go Again,"$120,634,935",2018,34952180,75000000,120634935,274466207,395101142,114.0,PG-13,7,2018-07-18,"['Comedy', 'Musical', 'Romance']"
Mulan,/title/tt0120762/?ref_=bo_cso_table_149,549,Mulan,"$120,620,254",1998,22745143,0,120620254,183700000,304320254,88.0,,6,1998-06-19,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical', 'War']"
Inglourious Basterds,/title/tt0361748/?ref_=bo_cso_table_150,550,Inglourious Basterds,"$120,540,719",2009,38054676,70000000,120540719,200914970,321455689,153.0,R,8,2009-08-19,"['Adventure', 'Drama', 'War']"
Seabiscuit,/title/tt0329575/?ref_=bo_cso_table_151,551,Seabiscuit,"$120,277,854",2003,20854735,87000000,120277854,28058591,148336445,140.0,PG-13,7,2003-07-25,"['Drama', 'History', 'Sport']"
Van Helsing,/title/tt0338526/?ref_=bo_cso_table_152,552,Van Helsing,"$120,177,084",2004,51748040,160000000,120177084,179980554,300157638,131.0,PG-13,5,2004-05-05,"['Action', 'Adventure', 'Fantasy']"
Four Christmases,/title/tt0369436/?ref_=bo_cso_table_153,553,Four Christmases,"$120,146,040",2008,31069826,80000000,120146040,43966681,164112721,88.0,PG-13,11,2008-11-26,"['Comedy', 'Drama', 'Romance']"
I Now Pronounce You Chuck & Larry,/title/tt0762107/?ref_=bo_cso_table_154,554,I Now Pronounce You Chuck & Larry,"$120,059,556",2007,34233750,85000000,120059556,67074561,187134117,115.0,PG-13,7,2007-07-20,"['Comedy', 'Romance']"
The Mask,/title/tt0110475/?ref_=bo_cso_table_155,555,The Mask,"$119,938,730",1994,23117068,23000000,119938730,231644677,351583407,101.0,PG-13,7,1994-07-29,"['Action', 'Comedy', 'Crime', 'Fantasy']"
Cloudy with a Chance of Meatballs 2,/title/tt1985966/?ref_=bo_cso_table_156,556,Cloudy with a Chance of Meatballs 2,"$119,793,567",2013,34017930,78000000,119793567,154532382,274325949,95.0,PG,9,2013-09-26,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Hook,/title/tt0102057/?ref_=bo_cso_table_157,557,Hook,"$119,654,823",1991,13522535,70000000,119654823,181200000,300854823,142.0,,12,1991-12-11,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Blazing Saddles,/title/tt0071230/?ref_=bo_cso_table_158,558,Blazing Saddles,"$119,601,481",1974,0,0,119601481,119601481,0,93.0,,2,1974-02-07,"['Comedy', 'Western']"
Walk the Line,/title/tt0358273/?ref_=bo_cso_table_159,559,Walk the Line,"$119,519,402",2005,22347341,28000000,119519402,67278584,186797986,136.0,PG-13,2,2005-02-02,"['Biography', 'Drama', 'Music', 'Romance']"
G-Force,/title/tt0436339/?ref_=bo_cso_table_160,560,G-Force,"$119,436,770",2009,31706934,150000000,119436770,173381071,292817841,88.0,PG,7,2009-07-23,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Total Recall,/title/tt0100802/?ref_=bo_cso_table_161,561,Total Recall,"$119,412,921",1990,25533700,65000000,119412921,141905000,261317921,113.0,,6,1990-06-01,"['Action', 'Sci-Fi', 'Thriller']"
On Golden Pond,/title/tt0082846/?ref_=bo_cso_table_162,562,On Golden Pond,"$119,285,432",1981,89213,0,119285432,119285432,0,109.0,,12,1981-12-04,['Drama']
The Other Guys,/title/tt1386588/?ref_=bo_cso_table_163,563,The Other Guys,"$119,219,978",2010,35543162,100000000,119219978,51238944,170458922,107.0,PG-13,8,2010-08-06,"['Action', 'Comedy', 'Crime']"
Fahrenheit 9/11,/title/tt0361596/?ref_=bo_cso_table_164,564,Fahrenheit 9/11,"$119,194,771",2004,23920637,6000000,119194771,103252111,222446882,122.0,R,6,2004-06-23,"['Documentary', 'Drama', 'War']"
Back to the Future Part II,/title/tt0096874/?ref_=bo_cso_table_165,565,Back to the Future Part II,"$119,000,002",1989,27835125,40000000,119000002,213500000,331950002,108.0,,11,1989-11-22,"['Adventure', 'Comedy', 'Sci-Fi']"
The Sum of All Fears,/title/tt0164184/?ref_=bo_cso_table_166,566,The Sum of All Fears,"$118,907,036",2002,31178526,68000000,118907036,75014336,193921372,124.0,PG-13,5,2002-05-31,"['Action', 'Drama', 'Thriller', 'War']"
Hairspray,/title/tt0427327/?ref_=bo_cso_table_167,567,Hairspray,"$118,871,849",2007,27800000,0,118871849,84681073,203552922,117.0,PG,7,2007-07-19,"['Comedy', 'Drama', 'Musical', 'Romance']"
The Break-Up,/title/tt0452594/?ref_=bo_cso_table_168,568,The Break-Up,"$118,703,275",2006,39172785,52000000,118703275,86964935,205668210,106.0,PG-13,6,2006-06-02,"['Comedy', 'Drama', 'Romance']"
A Series of Unfortunate Events,/title/tt0339291/?ref_=bo_cso_table_169,569,A Series of Unfortunate Events,"$118,634,549",2004,30061756,140000000,118634549,92833686,211468235,108.0,PG,12,2004-12-16,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Blades of Glory,/title/tt0445934/?ref_=bo_cso_table_170,570,Blades of Glory,"$118,594,548",2007,33014202,61000000,118594548,27115799,145710347,93.0,PG-13,3,2007-03-30,"['Comedy', 'Sport']"
Salt,/title/tt0944835/?ref_=bo_cso_table_171,571,Salt,"$118,311,368",2010,36011243,110000000,118311368,175191986,293503354,100.0,PG-13,7,2010-07-21,"['Action', 'Thriller']"
Basic Instinct,/title/tt0103772/?ref_=bo_cso_table_172,572,Basic Instinct,"$117,727,224",1992,15129385,49000000,117727224,235200000,352927224,127.0,R,3,1992-03-20,"['Drama', 'Mystery', 'Thriller']"
Now You See Me,/title/tt1670345/?ref_=bo_cso_table_173,573,Now You See Me,"$117,723,989",2013,29350389,75000000,117723989,234000000,351723989,115.0,PG-13,5,2013-05-29,"['Crime', 'Mystery', 'Thriller']"
Ford v Ferrari,/title/tt1950186/?ref_=bo_cso_table_174,574,Ford v Ferrari,"$117,624,357",2019,31474958,97600000,117624357,107883853,225508210,152.0,PG-13,11,2019-11-13,"['Action', 'Biography', 'Drama', 'Sport']"
Big Momma's House,/title/tt0208003/?ref_=bo_cso_table_175,575,Big Momma's House,"$117,559,438",2000,25661041,30000000,117559438,56400000,173959438,99.0,PG-13,6,2000-06-02,"['Action', 'Comedy', 'Crime']"
Die Hard 2,/title/tt0099423/?ref_=bo_cso_table_176,576,Die Hard 2,"$117,540,947",1990,21744661,70000000,117540947,122490327,240031274,124.0,,7,1990-07-06,"['Action', 'Thriller']"
Horrible Bosses,/title/tt1499658/?ref_=bo_cso_table_177,577,Horrible Bosses,"$117,538,559",2011,28302165,35000000,117538559,92300000,209838559,98.0,R,7,2011-07-07,"['Comedy', 'Crime']"
The Nun,/title/tt5814060/?ref_=bo_cso_table_178,578,The Nun,"$117,450,119",2018,53807379,22000000,117450119,248101575,365551694,96.0,R,9,2018-09-05,"['Horror', 'Mystery', 'Thriller']"
Rocky,/title/tt0075148/?ref_=bo_cso_table_179,579,Rocky,"$117,235,147",1976,0,0,117235147,15235,117250382,,,11,1976-11-21,"['Drama', 'Sport']"
Jackass 3D,/title/tt1116184/?ref_=bo_cso_table_180,580,Jackass 3D,"$117,229,692",2010,50353641,20000000,117229692,54456100,171685792,95.0,R,10,2010-10-15,"['Action', 'Comedy', 'Documentary']"
Ocean's Thirteen,/title/tt0496806/?ref_=bo_cso_table_181,581,Ocean's Thirteen,"$117,154,724",2007,36133403,0,117154724,194157900,311312624,122.0,PG-13,6,2007-06-06,"['Action', 'Crime', 'Thriller']"
S.W.A.T.,/title/tt0257076/?ref_=bo_cso_table_182,582,S.W.A.T.,"$116,934,650",2003,37062535,80000000,116934650,90790989,207725639,117.0,PG-13,8,2003-08-08,"['Action', 'Adventure', 'Crime', 'Thriller']"
The Wolf of Wall Street,/title/tt0993846/?ref_=bo_cso_table_183,583,The Wolf of Wall Street,"$116,900,694",2013,18361578,100000000,116900694,275100000,392000694,,R,12,2013-12-25,"['Biography', 'Crime', 'Drama']"
8 Mile,/title/tt0298203/?ref_=bo_cso_table_184,584,8 Mile,"$116,750,901",2002,51240555,41000000,116750901,126124177,242875078,110.0,R,11,2002-11-08,"['Drama', 'Music']"
Double Jeopardy,/title/tt0150377/?ref_=bo_cso_table_185,585,Double Jeopardy,"$116,741,558",1999,23162542,70000000,116741558,61100000,177841558,105.0,R,9,1999-09-24,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Lee Daniels' The Butler,/title/tt1327773/?ref_=bo_cso_table_186,586,Lee Daniels' The Butler,"$116,632,095",2013,24637312,30000000,116632095,60681700,177313795,132.0,PG-13,8,2013-08-16,"['Biography', 'Drama']"
Green Lantern,/title/tt1133985/?ref_=bo_cso_table_187,587,Green Lantern,"$116,601,172",2011,53174303,200000000,116601172,103250000,219851172,114.0,PG-13,6,2011-06-15,"['Action', 'Adventure', 'Sci-Fi']"
Notting Hill,/title/tt0125439/?ref_=bo_cso_table_188,588,Notting Hill,"$116,089,678",1999,21811180,42000000,116089678,247800000,124205451,124.0,PG-13,5,1999-05-28,"['Comedy', 'Drama', 'Romance']"
The Towering Inferno,/title/tt0072308/?ref_=bo_cso_table_189,589,The Towering Inferno,"$116,000,000",1974,14000000,0,116000000,116000000,0,165.0,,12,1974-12-14,"['Action', 'Drama', 'Thriller']"
You've Got Mail,/title/tt0128853/?ref_=bo_cso_table_190,590,You've Got Mail,"$115,821,495",1998,18426749,65000000,115821495,135000000,250821495,119.0,PG,12,1998-12-18,"['Comedy', 'Drama', 'Romance']"
Ghost Rider,/title/tt0259324/?ref_=bo_cso_table_191,591,Ghost Rider,"$115,802,596",2007,45388836,110000000,115802596,112935797,228738393,110.0,PG-13,2,2007-02-14,"['Action', 'Fantasy', 'Thriller']"
Creed II,/title/tt6343314/?ref_=bo_cso_table_192,592,Creed II,"$115,715,889",2018,35574710,50000000,115715889,98500000,214215889,130.0,PG-13,11,2018-11-21,"['Drama', 'Sport']"
Remember the Titans,/title/tt0210945/?ref_=bo_cso_table_193,593,Remember the Titans,"$115,654,751",2000,20905831,30000000,115654751,21051932,136706683,113.0,PG,9,2000-09-29,"['Biography', 'Drama', 'Sport']"
District 9,/title/tt1136608/?ref_=bo_cso_table_194,594,District 9,"$115,646,235",2009,37354308,30000000,115646235,95242715,210888950,112.0,R,8,2009-08-13,"['Action', 'Sci-Fi', 'Thriller']"
Unbroken,/title/tt1809398/?ref_=bo_cso_table_195,595,Unbroken,"$115,637,895",2014,30621445,65000000,115637895,45821402,161459297,137.0,PG-13,12,2014-12-25,"['Action', 'Biography', 'Drama', 'Sport', 'War']"
Peter Rabbit,/title/tt5117670/?ref_=bo_cso_table_196,596,Peter Rabbit,"$115,253,424",2018,25010928,50000000,115253424,236013009,351266433,95.0,PG,2,2018-02-08,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Big,/title/tt0094737/?ref_=bo_cso_table_197,597,Big,"$115,227,281",1988,8216190,0,115227281,36700000,151668774,104.0,,6,1988-06-03,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Girls Trip,/title/tt3564472/?ref_=bo_cso_table_198,598,Girls Trip,"$115,171,585",2017,31201920,19000000,115171585,25380774,140552359,122.0,R,7,2017-07-21,"['Adventure', 'Comedy', 'Drama']"
The Karate Kid Part II,/title/tt0091326/?ref_=bo_cso_table_199,599,The Karate Kid Part II,"$115,103,979",1986,12652336,0,115103979,115103979,0,113.0,,6,1986-06-20,"['Action', 'Family', 'Sport']"
American Graffiti,/title/tt0069704/?ref_=bo_cso_table_200,600,American Graffiti,"$115,000,000",1973,0,0,115000000,115000000,0,110.0,,8,1973-08-01,"['Comedy', 'Drama']"
